Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2025,Teluk betung utara,Januari,Pencurian motor,rumah,05.00-07.59,1
2025,Tanjung karang pusat,Januari,Pencurian motor,rumah,05.00-07.59,1
2025,Kemiling,Januari,Pencurian motor,rumah,05.00-07.60,1
2025,Tanjung karang timur,Januari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.60,1
2025,Tanjung karang timur,Januari,Pencurian motor,pasar,05.00-07.60,1
2025,Tanjung karang pusat,Januari,Pencurian motor,tempat parkir,22.00-23.59,1
2023,Teluk Betung Utara,April,Pencurian motor,rumah,12.00-14.59,1
2023,Kemiling,April,Pencurian motor,rumah,12.00-14.59,1
2023,Sukarame,April,Pencurian motor,rumah,08.00-11.59,1
2023,Kedaton,April,Pencurian motor,rumah,04.00-04.59,1
2023,Sukarame,April,Pencurian motor,rumah,05.00-07.59,1
2023,Kemiling,April,Pencurian motor,Perkantoran,12.00-14.59,1
2023,Kemiling,April,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2023,Kemiling,April,Pencurian motor,pertokoan/mal/pusat perbelanjaan,22.00-23.59,1
2023,Teluk Betung Utara,April,Pencurian motor,Tempat Parkir,04.00-04.59,1
2023,Sukarame,Mei,Pencurian motor,rumah,08.00-11.59,1
2023,Sukarame,Mei,Pencurian motor,rumah,12.00-14.59,1
2023,Kemiling,Mei,Pencurian motor,rumah,12.00-14.59,1
2023,Kedaton,Mei,Pencurian motor,rumah,15.00-17.59,1
2023,Kemiling,Mei,Pencurian motor,rumah,18.00-21.59,2
2023,Teluk Betung Selatan,Mei,Pencurian motor,rumah,04.00-04.59,1
2023,Kemiling,Mei,Pencurian motor,rumah,04.00-04.59,1
2023,Sukarame,Mei,Pencurian motor,rumah,04.00-04.59,1
2023,Tanjung Karang Barat,Mei,Pencurian motor,rumah,05.00-07.59,1
2023,Teluk Betung Utara,Mei,Pencurian motor,rumah,05.00-07.59,1
2023,Tanjung Karang Timur ,Mei,Pencurian motor,perkantoran,08.00-11.59,1
2023,Kemiling,Mei,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,3
2023,Sukarame,Mei,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2023,Tanjung Karang Barat,Mei,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2023,Kedaton,Mei,Pencurian motor,Tempat Parkir,08.00-11.59,1
2023,Teluk Betung Timur,Mei,Pencurian motor,Pasar,15.00-17.59,1
2023,Kemiling,Juni,Pencurian motor,rumah,05.00-07.59,1
2023,Kemiling,Juni,Pencurian motor,rumah,15.00-17.59,1
2023,Sukarame ,Juni,Pencurian motor,rumah,08.00-11.59,1
2023,Sukarame,Juni,Pencurian motor,rumah,15.00-17.59,1
2023,Sukarame,Juni,Pencurian motor,rumah,12.00-14.59,2
2023,Kemiling,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,12.00-14.59,1
2023,Kemiling,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,2
2023,Kemiling,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,1
2023,Kemiling,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.59,1
2023,Sukarame,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.59,1
2023,Sukarame,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
2024,Tanjung Karang Barat,April,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Selatan,April,Pencurian motor,Rumah,18.00-21.59,1
2024,Tanjung Karang Barat,April,Pencurian motor,Rumah,04.00-04.59,1
2024,Panjang,April,Pencurian motor,Rumah,04.00-04.59,1
2024,Kedaton,April,Pencurian motor,Rumah,15.00-17.59,1
2024,Kedaton,April,Pencurian motor,Rumah,12.00-14.59,1
2024,Sukarame,April,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Timur,April,Pencurian motor,perkantoran,08.00-11.59,1
2024,Tanjung Karang Barat,April,Pencurian motor,perkantoran,18.00-21.59,1
2024,Tanjung Karang Barat,April,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,2
2024,Tanjung Karang Barat,April,Pencurian motor,pertokoan/mal/pusat perbelanjaan,15.00-17.59,2
2024,Tanjung Karang Barat,April,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2024,Sukarame,Mei,Pencurian motor,Rumah,12.00-14.59,1
2024,Sukarame,Mei,Pencurian motor,Rumah,18.00-21.59,1
2024,Sukarame,Mei,Pencurian motor,Rumah,15.00-17.59,3
2024,Teluk Betung Utara,Mei,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk Betung Selatan,Mei,Pencurian motor,Rumah,18.00-21.59,3
2024,Panjang,Mei,Pencurian motor,Rumah,18.00-21.59,1
2024,Panjang,Mei,Pencurian motor,Rumah,04.00-04.59,1
2024,Sukarame,Mei,Pencurian motor,Rumah,04.00-04.59,1
2024,Teluk Betung Timur,Mei,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Selatan,Mei,Pencurian motor,Rumah,08.00-11.59,1
2024,Teluk Betung Timur,Mei,Pencurian motor,Rumah,12.00-14.59,2
2024,Kedaton,Mei,Pencurian motor,Rumah,15.00-17.59,1
2024,Teluk Betung Selatan,Mei,Pencurian motor,perkantoran,15.00-17.59,1
2024,Tanjung Karang Timur ,Mei,Pencurian motor,perkantoran,08.00-11.59,1
2024,Tanjung Karang Timur ,Mei,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.59,1
2024,Tanjung Karang Barat,Mei,Pencurian motor,Tempat Parkir,08.00-11.59,1
2024,Tanjung Karang Barat,Mei,Pencurian motor,Tempat Parkir,04.00-04.59,1
2024,Tanjung Karang Barat,Mei,Pencurian motor,Pasar,08.00-11.59,1
2024,Teluk Betung Timur,Juni,Pencurian motor,Rumah,04.00-04.59,1
2024,Teluk Betung Selatan,Juni,Pencurian motor,Rumah,04.00-04.59,2
2024,Teluk Betung Selatan,Juni,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk Betung Selatan,Juni,Pencurian motor,Rumah,22.00-23.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,Rumah,05.00-07.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,Rumah,12.00-14.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Timur,Juni,Pencurian motor,perkantoran,05.00-07.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,perkantoran,18.00-21.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2024,Tanjung Karang Timur ,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
2024,Tanjung Karang Timur ,Juni,Pencurian motor,pertokoan/mal/pusat perbelanjaan,22.00-23.59,1
2024,Teluk Betung Timur,Juni,Pencurian motor,Tempat Parkir,15.00-17.59,1
2024,Tanjung Karang Barat,Juni,Pencurian motor,Tempat Parkir,05.00-07.59,2
2024,Tanjung Karang Barat,Juni,Pencurian motor,Pasar,05.00-07.59,1
2025,Teluk Betung Timur,Februari,Pencurian motor,Rumah,18.00-21.59,1
2025,Teluk Betung Timur,Februari,Pencurian motor,Rumah,05.00-07.59,1
2025,Tanjung Karang Barat,Februari,Pencurian motor,Rumah,18.00-21.59,2
2025,Tanjung Karang Barat,Februari,Pencurian motor,Rumah,04.00-04.59,1
2025,Tanjung Karang Barat,Februari,Pencurian motor,Rumah,08.00-11.59,1
2025,Teluk Betung Timur,Februari,Pencurian motor,Rumah,04.00-04.59,1
2025,Teluk Betung Timur,Februari,Pencurian motor,Rumah,04.00-04.59,1
2025,Tanjung Karang Timur ,Februari,Pencurian motor,Rumah,04.00-04.59,1
2025,Tanjung Karang Timur ,Februari,Pencurian motor,Rumah,05.00-07.59,4
2025,Teluk Betung Selatan,Februari,Pencurian motor,Rumah,18.00-21.59,1
2025,Teluk Betung Selatan,Februari,Pencurian motor,Rumah,04.00-04.59,1
2025,Kedaton,Februari,Pencurian motor,Rumah,05.00-07.59,1
2025,Tanjung Senang,Februari,Pencurian motor,Rumah,04.00-04.59,4
2025,Teluk Betung Selatan,Februari,Pencurian motor,Jalan umum,15.00-17.59,1
2025,Teluk Betung Selatan,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
2025,Tanjung Karang Timur ,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
2025,Tanjung Karang Timur ,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,05.00-07.59,1
2025,Tanjung Karang Barat,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,08.00-11.59,1
2025,Tanjung Karang Barat,Februari,Pencurian motor,pertokoan/mal/pusat perbelanjaan,18.00-21.59,1
