Tahun,Kecamatan,Bulan,Jenis_Kejahatan,Lokasi_Kejadian,Waktu_Kejadian,Jumlah_kasus
2023,Teluk Betung Selatan,Agustus,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,08.00-11.59,1
2023,Sukarame,Agustus,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,15.00-17.59,1
2023,Sukarame,Agustus,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,04.00-04.59,1
2023,Sukarame,Agustus,Pencurian Motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,3
2023,Sukarame,Agustus,Pencurian Motor,Tempat Parkir,08.00-11.59,1
2023,Sukarame,Agustus,Pencurian Motor,Tempat Parkir,15.00-17.59,1
2023,Sukarame,September,Pencurian Motor,Rumah,08.00-11.59,2
2023,Tanjung Karang Barat,September,Pencurian Motor,Rumah,08.00-11.59,1
2023,Sukarame,September,Pencurian Motor,Rumah,18.00-21.59,4
2023,Sukarame,September,Pencurian Motor,Rumah,04.00-04.59,1
2023,Sukarame,September,Pencurian Motor,Rumah,22.00-23.59,1
2023,Sukarame,September,Pencurian Motor,Rumah,05.00-07.59,1
2023,Tanjung Karang Barat,September,Pencurian Motor,Perkantoran,15.00-17.59,1
2023,Kedaton,September,Pencurian Motor,Tempat Parkir,22.00-23.59,1
2024,Teluk Betung Timur,Juli,Pencurian motor,Rumah,08.00-11.59,2
2024,Sukarame,Juli,Pencurian motor,Rumah,08.00-11.59,1
2024,Tanjung Karang Timur,Juli,Pencurian motor,Rumah,08.00-11.59,1
2024,Teluk Betung Timur,Juli,Pencurian motor,Rumah,12.00-14.59,2
2024,Teluk Betung Selatan,Juli,Pencurian motor,Rumah,12.00-14.59,1
2024,Tanjung Karang Barat,Juli,Pencurian motor,Rumah,18.00-21.59,2
2024,Tanjung Karang Timur,Juli,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Selatan,Juli,Pencurian motor,Rumah,04.00-04.59,1
2024,Teluk Betung Selatan,Juli,Pencurian motor,Rumah,05.00-07.59,2
2024,Kedaton,Juli,Pencurian motor,Rumah,05.00-07.59,1
2024,Tanjung Karang Timur,Juli,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,2
2024,Tanjumg Karang Barat,Juli,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Rumah,08.00-11.59,2
2024,Kedaton,Agustus,Pencurian motor,Rumah,08.00-11.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Rumah,08.00-11.59,1
2024,Panjang,Agustus,Pencurian motor,Rumah,12.00-14.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Rumah,12.00-14.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Selatan,Agustus,Pencurian motor,Rumah,18.00-21.59,1
2024,Teluk Betung Timur,Agustus,Pencurian motor,Rumah,18.00-21.59,1
2024,Kedaton,Agustus,Pencurian motor,Rumah,18.00-21.59,1
2024,Kedaton,Agustus,Pencurian motor,Rumah,15.00-17.59,1
2024,Sukarame,Agustus,Pencurian motor,Rumah,15.00-17.59,1
2024,Teluk Betung Timur,Agustus,Pencurian motor,Rumah,15.00-17.59,1
2024,Teluk Betung Selatan,Agustus,Pencurian motor,Rumah,04.00-04.59,2
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Rumah,04.00-04.59,1
2024,Teluk Betung Timur,Agustus,Pencurian motor,Rumah,04.00-04.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk Betung Selatan,Agustus,Pencurian motor,Rumah,05.00-07.59,1
2024,Teluk BetungTimur,Agustus,Pencurian motor,Rumah,05.00-07.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Perkantoran,08.00-11.59,1
2024,Teluk Betung Timur,Agustus,Pencurian motor,Perkantoran,15.00-17.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,08.00-11.59,2
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,18.00-21.59,1
2024,Sukarame,Agustus,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Pertokoan/Mal/Pusat Perbelanjaan,05.00-07.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Jalanan Umum,05.00-07.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Jalanan Umum,22.00-23.59,1
2024,Tanjung Karang Timur,Agustus,Pencurian motor,Tempat Parkir,08.00-11.59,1
2024,Tanjung Karang Barat,Agustus,Pencurian motor,Tempat Parkir,18.00-21.59,1
